,Article
LEGIARTI000032225797,"Un établissement de crédit, une société de financement, un établissement de monnaie électronique, un établissement de paiement ou un organisme mentionné au 5 de l'article L. 511-6 du code monétaire et financier ne peut se prévaloir d'un contrat de cautionnement d'une opération de crédit relevant des chapitres II ou III du présent titre, conclu par une personne physique dont l'engagement était, lors de sa conclusion, manifestement disproportionné à ses biens et revenus, à moins que le patrimoine de cette caution, au moment où celle-ci est appelée, ne lui permette de faire face à son obligation."
LEGIARTI000032225795,La garantie autonome définie à l' article 2321 du code civil  ne peut être souscrite à l'occasion d'un crédit relevant des chapitres II et III du présent titre.
LEGIARTI000039119564,"L'exécution des obligations du débiteur peut être, notamment en cas de licenciement, suspendue par ordonnance du juge des contentieux de la protection dans les conditions prévues à l'article 1343-5 du code civil . L'ordonnance peut décider que, durant le délai de grâce, les sommes dues ne produiront point intérêt. En outre, le juge peut déterminer dans son ordonnance les modalités de paiement des sommes qui seront exigibles au terme du délai de suspension, sans que le dernier versement puisse excéder de plus de deux ans le terme initialement prévu pour le remboursement du prêt ; il peut cependant surseoir à statuer sur ces modalités jusqu'au terme du délai de suspension."
LEGIARTI000032225791,"Les dispositions de l'article L. 511-5 du code de commerce sont applicables aux lettres de change et billets à ordre souscrits ou avalisés par les emprunteurs même majeurs à l'occasion des opérations de crédit régies par le présent titre à l'exception des sections 2, 6 et 8 du chapitre III et des sections 1, 2, 4, 5 et 6 du présent chapitre et de la section 2 du chapitre Ier du titre IV."
LEGIARTI000034072705,"Dans le cadre de l'élaboration, de l'octroi et de l'exécution d'un contrat de crédit, de service de conseil ou de services accessoires, les prêteurs agissent d'une manière honnête, équitable, transparente et professionnelle, au mieux des droits et des intérêts des emprunteurs. L'octroi de crédit, de services accessoires ou de services de conseil s'appuie sur les informations relatives à la situation de l'emprunteur et sur toute demande spécifique formulée par celui-ci, ainsi que sur les hypothèses raisonnables quant aux risques que la durée du contrat de crédit fait courir à l'emprunteur."
LEGIARTI000032303309,"La manière dont les prêteurs rémunèrent leur personnel et les intermédiaires de crédit ne porte pas atteinte aux obligations mentionnées à l'article L. 314-22 . Les personnels concernés sont les personnes physiques qui travaillent pour le prêteur et qui exercent directement ou participent à des activités d'élaboration, de proposition, d'octroi ou d'exécution des contrats de crédit ou de fourniture de services de conseil mentionnés au présent titre. Sont également concernées les personnes physiques qui encadrent directement les personnes susmentionnées. Tout vendeur personne physique, salarié ou non d'un prêteur, ne peut, en aucun cas, être rémunéré en fonction du taux du crédit ou du type de crédit qu'il a fait contracter. Pour les opérations de crédit mentionnées à l'article L. 313-1 , la politique de rémunération du personnel responsable de l'évaluation de la solvabilité est élaborée, dans la mesure nécessaire compte tenu de la taille, de l'organisation interne et de la nature, de l'étendue et de la complexité des activités du prêteur, dans le respect des principes énoncés à l' article L. 511-71 du code monétaire et financier . Les prêteurs veillent à ce que la politique de rémunération permette et promeuve une gestion du risque saine et comporte des mesures visant à éviter les conflits d'intérêts. Cette politique de rémunération ne dépend pas du nombre ou de la proportion des demandes acceptées. La politique de rémunération du personnel fournissant un service de conseil mentionné aux articles L. 313-13 et L. 313-14 ne porte pas atteinte à sa capacité de servir au mieux les intérêts de l'emprunteur et ne dépend pas exclusivement des objectifs de vente."
LEGIARTI000032303357,"Les prêteurs et les intermédiaires de crédit veillent à ce que le personnel placé sous leur autorité possède et maintienne à jour des connaissances et compétences appropriées concernant l'élaboration, la proposition et l'octroi des contrats de crédit mentionnés à l'article L. 313-1 , la fourniture de service de conseil mentionné aux articles L. 313-13 et L. 313-14 ainsi que, le cas échéant, l'activité d'intermédiation. Lorsque la conclusion d'un contrat de crédit implique la souscription de services accessoires, un niveau suffisant de connaissance de ces services et de compétence pour leur fourniture est exigé. Les modalités d'application du présent article sont fixées par décret."
LEGIARTI000032301639,"Les personnes chargées de fournir à l'emprunteur les explications sur les prêts mentionnés aux articles L. 312-1 à L. 312-3 et de recueillir les informations nécessaires à l'établissement de la fiche prévue à l'article L. 312-17 sont formées à la distribution du crédit à la consommation et à la prévention du surendettement. L'employeur de ces personnes tient à disposition, à des fins de contrôle, l'attestation de formation mentionnée à l' article L. 6353-1 du code du travail , établie par un des prêteurs dont les crédits sont proposés, sur le lieu de vente ou par un organisme de formation enregistré. Les exigences minimales auxquelles doit répondre cette formation sont définies par décret."
LEGIARTI000032301586,Les dispositions des chapitres II et III et des sections 2 à 7 du présent chapitre sont d'ordre public.
LEGIARTI000035725214,"Pour l'application des chapitres II et III du présent titre, lorsque le prêteur souhaite mettre à disposition ou fournir des informations et documents sur un support durable autre que le papier, ce dernier vérifie au préalable que ce mode de communication est adapté à la situation de l'emprunteur dans le cadre de l'opération de crédit envisagée ou en cours ; il s'assure qu'il est en mesure de prendre connaissance de ces informations et documents sur le support durable envisagé. Après cette vérification, le prêteur informe l'emprunteur de façon claire, précise et compréhensible de la poursuite de la relation commerciale sur un support durable autre que le papier. Il renouvelle cette vérification annuellement. A moins que cela ne soit incompatible avec la nature du contrat à distance conclu ou du service financier fourni, il doit informer l'emprunteur de son droit à s'opposer à l'utilisation de ce support dès l'entrée en relation ou à n'importe quel moment. Il justifie à tout moment de la relation que cette information a bien été portée à la connaissance de l'emprunteur."
LEGIARTI000035725217,"A moins que cela ne soit incompatible avec la nature du contrat à distance conclu ou du service financier fourni, l'emprunteur peut, immédiatement et à n'importe quel moment de l'opération de crédit, s'opposer par tout moyen à l'usage d'un support durable autre que le papier et demander à bénéficier sans frais d'un support papier. Il peut par ailleurs effectuer l'ensemble des formalités et obligations qui lui incombent sur tout autre support convenu avec le prêteur et sur un support identique à celui utilisé par le prêteur."
LEGIARTI000035725219,"Lorsque le prêteur fournit à l'emprunteur des informations et des documents par le biais d'un espace personnel sécurisé sur internet, il porte à la connaissance de l'emprunteur l'existence et la disponibilité de ces informations et documents sur l'espace personnel sécurisé par tout moyen adapté à la situation de l'emprunteur."
LEGIARTI000035725222,"Le prêteur garantit l'accessibilité des informations et des documents pendant une durée adaptée à leur finalité. Pour les documents précontractuels et contractuels cette durée ne peut être inférieure à cinq ans après la fin de la relation contractuelle. Lorsque le prêteur envisage de ne plus rendre accessibles ces informations et documents, il doit en informer préalablement et dans un délai qui ne peut être inférieur à deux mois, l'emprunteur par tout moyen adapté à la situation de ce dernier."
LEGIARTI000035725224,Les dispositions de la présente section ne s'appliquent pas aux contrats conclus à distance portant sur des services financiers régis par le chapitre II du titre II du livre II du présent code ainsi qu'au démarchage et à la fourniture à distance de services financiers régis par les chapitres I et III du titre IV du livre III du code monétaire et financier.
LEGIARTI000047284880,"Le prêteur s'assure que les fiches d'informations prévues aux articles L. 312-12 et L. 313-7 ainsi que les offres et les contrats de crédit prévus aux articles L. 312-13, L. 312-28 et L. 313-24 qu'il fournit à sa clientèle répondent aux exigences d'accessibilité aux personnes handicapées fixées à l'article L. 412-13."
LEGIARTI000032225775,"Le prêt viager hypothécaire est un contrat par lequel un établissement de crédit ou un établissement financier consent à une personne physique un prêt sous forme d'un capital ou de versements périodiques, garanti par une hypothèque constituée sur un bien immobilier de l'emprunteur à usage exclusif d'habitation et dont le remboursement-principal et intérêts capitalisés annuellement ne peut être exigé qu'au décès de l'emprunteur ou lors de l'aliénation ou du démembrement de la propriété de l'immeuble hypothéqué s'ils surviennent avant le décès. Ce contrat peut également prévoir le même dispositif avec un remboursement périodique des seuls intérêts."
LEGIARTI000048841356,"Un établissement de crédit, un établissement financier ou une société de tiers-financement mentionnée au 8 de l'article L. 511-6 du code monétaire et financier peuvent procéder au financement de travaux de rénovation au moyen d'un prêt avance mutation garanti par une hypothèque constituée à hauteur du montant initial du prêt augmenté des intérêts capitalisés annuellement et dont le remboursement ne peut être exigé que lors de la mutation du bien. Le prêt avance mutation peut financer les frais liés à l'inscription d'une hypothèque et les frais notariés. Le remboursement des intérêts peut faire l'objet d'un remboursement progressif, selon une périodicité convenue. Les prêts avance mutation mentionnés au premier alinéa du présent article peuvent être consentis sans intérêt pour le financement de travaux permettant d'améliorer la performance énergétique du logement, dans les conditions prévues à l'article 244 quater T du code général des impôts. Ces prêts ouvrent droit au bénéfice du crédit d'impôt prévu au même article 244 quater T. Un décret en Conseil d'Etat peut définir les conditions dans lesquelles les établissements prêteurs peuvent prévoir une durée à l'issue de laquelle l'amortissement des prêts avance mutation mentionnés au premier alinéa du présent article est initié si la mutation du bien n'a pas eu lieu avant cette date."
LEGIARTI000043977228,Le prêt viager hypothécaire et le prêt avance mutation ne peuvent être destinés à financer les besoins d'une activité professionnelle.
LEGIARTI000043977221,"Toute publicité faite, reçue ou perçue en France qui, quel que soit son support, porte sur une opération de prêt viager hypothécaire défini à l'article L. 315-1 ou de prêt avance mutation défini à l'article L. 315-2 , est loyale et informative. A ce titre, elle mentionne : 1° L'identité du prêteur, la nature de l'opération proposée, son coût total et le taux effectif global, à l'exclusion de tout autre taux, calculé par tranches de cinq ans, ainsi que les perceptions forfaitaires ; 2° Les modalités du terme de l'opération proposée. Elle reproduit les dispositions des articles L. 315-11 et L. 341-43 ."
LEGIARTI000032225765,"Lorsque la publicité est écrite et quel qu'en soit le support, les informations relatives à la nature de l'opération, aux conditions de détermination du taux effectif global et, s'il s'agit d'un taux promotionnel, à la période durant laquelle ce taux s'applique, figurent dans une taille de caractères au moins aussi importante que celle utilisée pour indiquer toute autre information relative aux caractéristiques du financement et sont inscrites dans le corps principal du texte publicitaire."
LEGIARTI000032225763,Sont interdites dans toute publicité : 1° La mention qu'un prêt peut être octroyé sans élément d'information permettant d'apprécier la situation financière et patrimoniale de l'emprunteur ; 2° L'indication de la ressource supplémentaire qu'offre le prêt si elle n'est suivie d'une information sur les modalités du terme de l'opération telles que prévues par les dispositions des articles L. 315-20 et L. 315-21 .
LEGIARTI000032225761,L'offre préalable de crédit doit être distincte de tout support ou document publicitaire.
LEGIARTI000043977216,Une opération de prêt viager hypothécaire ou de prêt avance mutation ne peut faire l'objet d'un démarchage au sens du septième alinéa de l'article L. 341-1 du code monétaire et financier .
LEGIARTI000043977203,"L'opération de prêt viager hypothécaire ou de prêt avance mutation est conclue dans les termes d'une offre préalable comportant les mentions suivantes : 1° L'identité des parties et la date d'acceptation de l'offre ; 2° La désignation exacte du bien hypothéqué, conforme aux exigences de la publicité foncière ; 3° La valeur du bien hypothéqué estimée par un expert choisi par les parties et les frais afférents à l'expertise, lorsqu'ils sont mis à la charge de l'emprunteur. Dans le cas d'un prêt avance mutation, l'estimation peut être réalisée par l'établissement prêteur ; 4° La nature du prêt ; 5° Les modalités du prêt et, notamment, les dates et les conditions de mise à disposition des fonds ; 6° En cas de versements échelonnés du capital, l'échéancier des versements périodiques distinguant la part du capital de celle des intérêts accumulés sur ces sommes durant la durée prévisionnelle du prêt et permettant à l'emprunteur de connaître le moment où il aura épuisé l'actif net de son logement ; 7° Lorsque le capital est versé en une seule fois, un état des intérêts accumulés sur ces sommes durant la durée prévisionnelle du prêt, permettant à l'emprunteur de connaître le moment où il aura épuisé l'actif net de son logement ; 8° A partir d'exemples représentatifs établis en fonction d'hypothèses relatives, notamment, à la durée du prêt, le coût global du crédit, le taux effectif global défini conformément aux dispositions des articles L. 314-1 à L. 314-4 ainsi que, s'il y a lieu, les modalités de l'indexation ; 9° La durée de validité de l'offre ; 10° En cas de remboursement périodique des intérêts, l'échéancier des versements périodiques d'intérêts pour les prêts dont le taux d'intérêt est fixe, ou la simulation de l'impact d'une variation du taux sur les mensualités d'intérêts pour les prêts dont le taux d'intérêt est variable. Cette simulation ne constitue pas un engagement du prêteur à l'égard de l'emprunteur quant à l'évolution effective des taux d'intérêt pendant le prêt et à son impact sur les mensualités. L'offre reproduit les dispositions des articles L. 315-10 à L. 315-15 , L. 315-20 et L. 341-55 ."
LEGIARTI000032225753,La remise de l'offre oblige le prêteur à maintenir les conditions qu'elle comporte pendant une durée minimale de trente jours à compter de son émission.
LEGIARTI000032225751,"L'acceptation de l'offre ne peut intervenir que dix jours après sa réception par l'emprunteur. Elle fait alors l'objet d'un acte notarié. Jusqu'à l'acceptation de l'offre par l'emprunteur, aucun versement sous quelque forme que ce soit ne peut être fait, au titre de l'opération en cause, par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Jusqu'à cette acceptation, l'emprunteur ne peut, au même titre, faire aucun dépôt, souscrire ou avaliser aucun effet de commerce ou signer aucun chèque. Si une autorisation de prélèvement sur compte bancaire ou postal est signée par l'emprunteur, sa validité et sa prise d'effet sont subordonnées à celle du contrat de crédit."
LEGIARTI000032225747,L'emprunteur doit apporter à l'immeuble hypothéqué tous les soins raisonnables.
LEGIARTI000034072692,"Ainsi qu'il est dit à l'article 1305-4 du code civil, le débiteur ne peut réclamer le bénéfice du terme s'il ne fournit pas les sûretés promises au créancier ou s'il diminue celles qui garantissent l'obligation."
LEGIARTI000049397530,"Le débiteur perd également le bénéfice du terme lorsqu'il change l'affectation du bien hypothéqué ou lorsqu'il refuse au créancier l'accès de l'immeuble hypothéqué pour s'assurer de son bon état d'entretien et de conservation ou en cas de prêt à versement périodique d'intérêts, lorsqu'il est défaillant dans le versement d'une ou de plusieurs échéances d'intérêts. En cas de défaillance de l'emprunteur ayant opté initialement pour le remboursement périodique des intérêts d'un prêt avance mutation garanti par le fonds de garantie pour la rénovation dans les conditions prévues au 4° du I de l'article L. 312-7 du code de la construction et de l'habitation , le prêteur peut proposer à l'emprunteur d'opter pour la capitalisation annuelle des intérêts futurs. Par dérogation au premier alinéa du présent article, l'emprunteur conserve alors le bénéfice du terme."
LEGIARTI000032225739,"La dette de l'emprunteur ou de ses ayants droit ne peut jamais excéder la valeur de l'immeuble appréciée lors de l'échéance du terme. Lorsque le créancier hypothécaire met en jeu sa garantie à l'échéance du terme, si la dette est alors inférieure à la valeur de l'immeuble, la différence entre cette valeur et le montant de la créance est versée, selon le cas, à l'emprunteur ou à ses héritiers. En cas d'aliénation du bien, la valeur de l'immeuble est égale à la valeur indiquée dans l'acte de cession sous réserve des dispositions de l'article L. 315-21 ."
LEGIARTI000032225735,"L'emprunteur peut toujours, à son initiative, mettre un terme au contrat de prêt qui lui a été consenti en remboursant la totalité des sommes déjà versées en principal et intérêts. Si l'emprunteur a opté pour un versement du capital en une seule fois, il peut, à son initiative, rembourser une partie des sommes versées. Toutefois, le prêteur peut refuser un remboursement partiel inférieur à un montant fixé par décret en Conseil d'Etat."
LEGIARTI000032890853,"Dans les cas de remboursement prévus à l'article L. 315-16 , le prêteur est en droit d'exiger une indemnité qui ne peut, sans préjudice de l'application de l'article 1231-5 du code civil , excéder un montant qui, dépendant de la durée du contrat déjà réalisée, est fixée selon des modalités déterminées par décret en Conseil d'Etat."
LEGIARTI000032225731,Le remboursement anticipé ne peut donner lieu à aucune indemnité ni à aucun coût à la charge de l'emprunteur autres que ceux qui sont mentionnés aux articles L. 315-16 et L. 315-17.
LEGIARTI000032225729,"L'emprunteur peut, en cas de versements périodiques du capital, demander une suspension ou une modification de l'échéancier des versements. Ces aménagements se font au taux conventionnel défini au contrat principal et donnent lieu à l'établissement d'un nouvel état des versements périodiques et des intérêts accumulés sur ces sommes pour la durée prévisionnelle du prêt restant à courir. La part du capital et celle des intérêts apparaissent de manière distincte. Les modifications visant à accélérer les versements peuvent intervenir conformément aux stipulations contractuelles."
LEGIARTI000032225724,"Lors du décès de l'emprunteur ou du dernier vivant des co-emprunteurs, les héritiers peuvent payer la dette plafonnée à la valeur de l'immeuble estimée au jour de l'ouverture de la succession. Il est procédé à cette estimation en tant que de besoin par un expert choisi d'un commun accord par le créancier et l'emprunteur ou désigné sur requête. A défaut et nonobstant les règles applicables en matière d'acceptation sous bénéfice d'inventaire, le créancier hypothécaire peut à son choix : - poursuivre la saisie et la vente de l'immeuble dans les conditions du droit commun, auquel cas la dette est plafonnée au prix de la vente ; - ou se voir attribuer la propriété de l'immeuble par décision judiciaire ou en vertu d'un pacte commissoire alors même que celui-ci constituait la résidence principale de l'emprunteur. Le créancier hypothécaire dispose de la même option en cas de succession vacante."
LEGIARTI000032225722,"En cas d'aliénation de l'immeuble par l'emprunteur ou ses héritiers, le projet de cession est notifié au créancier hypothécaire. En cas de contestation par celui-ci de la valeur de l'immeuble retenue dans l'acte de cession, il est procédé à l'estimation du bien par un expert choisi d'un commun accord par le créancier et l'emprunteur ou désigné sur requête. Si la valeur de l'immeuble s'avère finalement inférieure à cette estimation, la créance du prêteur est alors plafonnée : - soit au prix d'adjudication de l'immeuble si le créancier hypothécaire fait procéder à la saisie et à la vente du bien en vertu de son droit de suite ; - soit à la valeur d'expertise de l'immeuble si le créancier hypothécaire demande l'attribution judiciaire du bien ou se prévaut du pacte commissoire par lui conclu. Les dispositions du présent article s'appliquent également au démembrement de la propriété de l'immeuble hypothéqué."
LEGIARTI000032225720,"En cas de défaillance de l'emprunteur sur le remboursement périodique des intérêts, le prêteur peut exiger le remboursement immédiat des intérêts échus mais non payés."
LEGIARTI000032890837,"Lorsque le prêteur est amené à demander la résolution du contrat, il peut exiger le remboursement immédiat du capital versé, ainsi que le paiement des intérêts échus. Jusqu'au règlement effectif, les sommes restant dues produisent des intérêts de retard à un taux égal au taux du prêt. En outre, le prêteur peut demander à l'emprunteur défaillant une indemnité qui, sans préjudice de l'application de l' article 1231-5  du code civil , ne peut excéder un montant qui, dépendant de la durée restant à courir du contrat, est fixé suivant un barème déterminé par décret."
